"","Total.VolumeA","Speed_KM","OccupancyA"
"1244",834,106,-1
"1245",978,101,-1
"1246",906,106,-1
"1247",846,106,-1
"1248",828,103,-1
"1249",1050,106,-1
"1250",798,106,-1
"1251",762,105,-1
"1252",918,105,-1
"1253",1146,105,-1
"1254",1074,108,-1
"1255",876,108,-1
"1256",690,105,-1
"1257",1074,106,-1
"1258",1032,108,-1
"1259",978,111,-1
"1260",846,109,-1
"1261",1020,111,-1
"1262",816,109,-1
"1263",1086,105,-1
"1264",852,108,-1
"1265",1062,109,-1
"1266",1248,111,-1
"1267",960,109,-1
"1268",936,109,-1
"1269",1014,111,-1
"1270",972,113,-1
"1271",912,109,-1
"1272",1092,109,-1
"1273",1056,111,-1
"1274",996,111,-1
"1275",1056,109,-1
"1276",1110,113,-1
"1277",1290,109,-1
"1278",1206,113,-1
"1279",1242,111,-1
"1280",966,109,-1
"1281",894,105,-1
"1282",1110,109,-1
"1283",978,109,-1
"1284",1248,108,-1
"1285",1002,106,-1
"1286",858,108,-1
"1287",840,111,-1
"1288",732,111,-1
"1289",1002,108,-1
"1290",972,108,-1
"1291",900,113,-1
"1292",1068,109,-1
"1293",876,113,-1
